	shape	carat	color	clarity	cut	depth	table	lab	price	url	img_url	cert_url	vid_url	date
81	round	1.50	H	VS2	Signature Ideal	59.1%	61%	GIA	$10210	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2108204	https://yadav-gemstone-graphics.s3.amazonaws.com/2108204_1.jpg	https://yadav-certs.s3.amazonaws.com/1287182464.jpg	http://www.yadavjewelry.com/diamonds/videos/2108204	03/20/18 23:46:03
82	round	1.60	H	SI1	Signature Ideal	62.6%	58%	GIA	$10215	https://www.yadavjewelry.com/diamond/round-diamond-1.60-carat-H-SI1-yd1919666	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1259703151.pdf		03/20/18 23:46:04
83	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	$10215	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2140569	https://yadav-gemstone-graphics.s3.amazonaws.com/2140569_1.jpg	https://yadav-certs.s3.amazonaws.com/2276497474.pdf		03/20/18 23:46:05
84	round	1.51	H	SI1	Signature Ideal	62.5%	56%	GIA	$10227	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2167314	https://yadav-gemstone-graphics.s3.amazonaws.com/2167314_1.jpg	https://yadav-certs.s3.amazonaws.com/1192066813.pdf	http://www.yadavjewelry.com/diamonds/videos/2167314	03/20/18 23:46:05
85	round	1.50	H	VS2	Signature Ideal	62.2%	56%	GIA	$10232	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd1798947	https://yadav-gemstone-graphics.s3.amazonaws.com/1798947_1.jpg	https://yadav-certs.s3.amazonaws.com/2264602777.jpg	http://www.yadavjewelry.com/diamonds/videos/1798947	03/20/18 23:46:06
86	round	1.50	G	SI1	Signature Ideal	60.8%	59%	GIA	$10240	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd995813	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/7241988080.pdf		03/20/18 23:46:07
87	round	1.51	G	SI1	Signature Ideal	61.5%	59%	GIA	$10245	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd2133237	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2195074403.pdf		03/20/18 23:46:08
88	round	1.50	G	SI1	Signature Ideal	62.1%	56%	GIA	$10261	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2093016	https://yadav-gemstone-graphics.s3.amazonaws.com/2093016_1.jpg	https://yadav-certs.s3.amazonaws.com/7278800100.pdf		03/20/18 23:46:08
89	round	1.60	H	SI1	Signature Ideal	62.5%	58%	GIA	$10277	https://www.yadavjewelry.com/diamond/round-diamond-1.60-carat-H-SI1-yd2097358	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6245864624.jpg	http://www.yadavjewelry.com/diamonds/videos/2097358	03/20/18 23:46:09
90	round	1.51	H	VS2	Signature Ideal	61.8%	58%	GIA	$10290	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-VS2-yd2060914	https://yadav-gemstone-graphics.s3.amazonaws.com/2060914_1.jpg	https://yadav-certs.s3.amazonaws.com/3275776885.jpg	http://www.yadavjewelry.com/diamonds/videos/2060914	03/20/18 23:46:10
